"Employee who killed gunman likely saved lives, police say",2021-10-22,https://news.yahoo.com/employee-killed-gunman-likely-saved-211530368.html
A 55-year-old mother of 9 was sentenced to death by hanging over possessing around 4 ounces of meth,2021-10-23,https://news.yahoo.com/55-old-mother-9-sentenced-054433946.html
"Employee who killed gunman likely saved lives, police say",2021-10-22,https://news.yahoo.com/employee-killed-gunman-likely-saved-211530368.html
A 55-year-old mother of 9 was sentenced to death by hanging over possessing around 4 ounces of meth,2021-10-23,https://news.yahoo.com/55-old-mother-9-sentenced-054433946.html
"Employee who killed gunman likely saved lives, police say",2021-10-22,https://news.yahoo.com/employee-killed-gunman-likely-saved-211530368.html
A 55-year-old mother of 9 was sentenced to death by hanging over possessing around 4 ounces of meth,2021-10-23,https://news.yahoo.com/55-old-mother-9-sentenced-054433946.html
"Asian spider takes hold in Georgia, sends humans scurrying",2021-10-29,https://news.yahoo.com/asian-spider-takes-hold-georgia-134321868.html
Tyler Perry says he suggested 'Survivor' make swimsuits 'look worn and tattered' but denies telling Jeff Probst to get rid of them altogether,2021-10-30,https://news.yahoo.com/tyler-perry-says-suggested-survivor-011157169.html
Olympic snowboarder's widow welcomes baby 15 months after his death,2021-10-29,https://news.yahoo.com/olympic-snowboarders-widow-welcomes-baby-214652499.html
Indian movie star Puneeth Rajkumar dies after heart attack,2021-10-29,https://news.yahoo.com/indian-movie-star-puneeth-rajkumar-143905113.html
"Supreme Court Justices Brett Kavanaugh and Amy Coney Barrett side with liberal justices, decline to block Maine's vaccine mandate for health workers with religious objections",2021-10-30,https://news.yahoo.com/supreme-court-justices-brett-kavanaugh-030349167.html
"Fact check: Remains found in Florida park ID'd as Brian Laundrie's, not a supposed twin's",2021-10-30,https://news.yahoo.com/fact-check-remains-found-florida-002909503.html
"Trump wants call logs, aide's notes hidden from Jan. 6 panel",2021-10-30,https://news.yahoo.com/trump-wants-call-logs-aides-110728503.html
Marjorie Taylor Greene Called Liz Cheney A ‘Karen’ And You Know What Happened Next,2021-10-29,https://news.yahoo.com/marjorie-taylor-greene-called-liz-065728278.html
"Major League Baseball breaks tradition, introduces robot umpires to call games",2021-10-30,https://news.yahoo.com/major-league-baseball-breaks-tradition-122226733.html
How 'Let's Go Brandon' became code for insulting Joe Biden,2021-10-30,https://news.yahoo.com/lets-brandon-became-code-insulting-050915714.html
'Grey's Anatomy' star Isaiah Washington said Ellen Pompeo was secretly paid $5 million 'to not tell the world how toxic and nasty Patrick Dempsey really was',2021-10-29,https://news.yahoo.com/greys-anatomy-star-isaiah-washington-165941822.html
Elvira Opens Up About Her Sweet First Kiss With Partner T Wierson,2021-10-28,https://news.yahoo.com/elvira-opens-her-sweet-first-174854765.html
Oklahoma executes inmate who dies vomiting and convulsing,2021-10-28,https://news.yahoo.com/oklahoma-asks-us-supreme-court-172735612.html
